go_id	name
GO:0003839	gamma-glutamylcyclotransferase activity
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
GO:0003842	L-glutamate gamma-semialdehyde dehydrogenase activity
GO:0003844	1,4-alpha-glucan branching enzyme activity
GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity
GO:0003852	2-isopropylmalate synthase activity
GO:0003855	3-dehydroquinate dehydratase activity
GO:0003856	3-dehydroquinate synthase activity
GO:0003857	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity
GO:0003861	3-isopropylmalate dehydratase activity
GO:0003862	3-isopropylmalate dehydrogenase activity
GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
GO:0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity
GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity
GO:0003872	6-phosphofructokinase activity
GO:0003879	ATP phosphoribosyltransferase activity
GO:0003883	CTP synthase activity
GO:0003886	DNA (cytosine-5-)-methyltransferase activity
GO:0003887	DNA-directed DNA polymerase activity
GO:0003899	DNA-directed RNA polymerase activity
GO:0003904	deoxyribodipyrimidine photo-lyase activity
GO:0003905	alkylbase DNA N-glycosylase activity
GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity
GO:0003911	DNA ligase (NAD+) activity
GO:0003913	DNA photolyase activity
GO:0003917	DNA topoisomerase type I (single strand cut, ATP-independent) activity
GO:0003919	FMN adenylyltransferase activity
GO:0003921	GMP synthase activity
GO:0003924	GTPase activity
GO:0003934	GTP cyclohydrolase I activity
GO:0003935	GTP cyclohydrolase II activity
GO:0003937	IMP cyclohydrolase activity
GO:0003938	IMP dehydrogenase activity
GO:0003939	L-iditol 2-dehydrogenase (NAD+) activity
GO:0003941	L-serine ammonia-lyase activity
GO:0003942	N-acetyl-gamma-glutamyl-phosphate reductase activity
GO:0003949	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
GO:0003951	NAD+ kinase activity
GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity
GO:0003954	NADH dehydrogenase activity
GO:0003955	NAD(P)H dehydrogenase (quinone) activity
GO:0003959	NADPH dehydrogenase activity
GO:0003963	RNA-3'-phosphate cyclase activity
GO:0003964	RNA-directed DNA polymerase activity
GO:0003972	RNA ligase (ATP) activity
GO:0003973	(S)-2-hydroxy-acid oxidase activity
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity
GO:0003978	UDP-glucose 4-epimerase activity
GO:0003979	UDP-glucose 6-dehydrogenase activity
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity
GO:0003984	acetolactate synthase activity
GO:0003985	acetyl-CoA C-acetyltransferase activity
GO:0003987	acetyl-CoA synthetase activity
GO:0003988	acetyl-CoA C-acyltransferase activity
GO:0003989	acetyl-CoA carboxylase activity
GO:0003991	acetylglutamate kinase activity
GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-transaminase activity
GO:0003993	acid phosphatase activity
GO:0003994	aconitate hydratase activity
GO:0003995	acyl-CoA dehydrogenase activity
GO:0003998	acylphosphatase activity
GO:0003999	adenine phosphoribosyltransferase activity
GO:0004000	adenosine deaminase activity
GO:0004013	adenosylhomocysteinase activity
GO:0004015	S-adenosyl-L-methionine:8-amino-7-oxononanoate transaminase activity
GO:0004016	adenylate cyclase activity
GO:0004017	AMP kinase activity
GO:0004018	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity
GO:0004019	adenylosuccinate synthase activity
GO:0004020	adenylylsulfate kinase activity
GO:0004022	alcohol dehydrogenase (NAD+) activity
GO:0004029	aldehyde dehydrogenase (NAD+) activity
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity
GO:0004035	alkaline phosphatase activity
GO:0004038	allantoinase activity
GO:0004040	amidase activity
GO:0004042	L-glutamate N-acetyltransferase activity, acting on acetyl-CoA as donor
GO:0004044	amidophosphoribosyltransferase activity
GO:0004045	peptidyl-tRNA hydrolase activity
GO:0004047	aminomethyltransferase activity
GO:0004048	anthranilate phosphoribosyltransferase activity
GO:0004049	anthranilate synthase activity
GO:0004055	argininosuccinate synthase activity
GO:0004056	argininosuccinate lyase activity
GO:0004058	aromatic-L-amino-acid decarboxylase activity
GO:0004061	arylformamidase activity
GO:0004065	arylsulfatase activity
GO:0004067	asparaginase activity
GO:0004068	aspartate 1-decarboxylase activity
GO:0004070	aspartate carbamoyltransferase activity
GO:0004072	aspartate kinase activity
GO:0004073	aspartate-semialdehyde dehydrogenase activity
GO:0004074	biliverdin reductase [NAD(P)H] activity
GO:0004075	biotin carboxylase activity
GO:0004076	biotin synthase activity
GO:0004087	carbamoyl-phosphate synthase (ammonia) activity
GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GO:0004089	carbonate dehydratase activity
GO:0004096	catalase activity
GO:0004106	chorismate mutase activity
GO:0004107	chorismate synthase activity
GO:0004109	coproporphyrinogen oxidase activity
GO:0004124	cysteine synthase activity
GO:0004129	cytochrome-c oxidase activity
GO:0004130	cytochrome-c peroxidase activity
GO:0004134	4-alpha-glucanotransferase activity
GO:0004135	amylo-alpha-1,6-glucosidase activity
GO:0004139	deoxyribose-phosphate aldolase activity
GO:0004140	dephospho-CoA kinase activity
